Iteration,E_total,E_kinetic,E_potential,Temperature,Pressure,
81       ,-4614.579860,3725.199615,-8339.779475 ,2.485952   ,1.867197,
82       ,-4614.357654,3715.694959,-8330.052613 ,2.479610   ,1.837552,
83       ,-4614.461789,3718.736449,-8333.198238 ,2.481639   ,1.830869,
84       ,-4614.670746,3733.187499,-8347.858245 ,2.491283   ,1.845273,
85       ,-4614.832916,3755.648853,-8370.481770 ,2.506272   ,1.875111,
86       ,-4615.026582,3782.617441,-8397.644022 ,2.524269   ,1.914559,
87       ,-4615.055614,3810.778082,-8425.833696 ,2.543062   ,1.957633,
88       ,-4614.876491,3838.940453,-8453.816944 ,2.561855   ,2.001725,
89       ,-4614.851694,3868.084725,-8482.936419 ,2.581304   ,2.047994,
90       ,-4615.155214,3897.284712,-8512.439926 ,2.600791   ,2.094451,
91       ,-4615.375179,3922.101671,-8537.476850 ,2.617352   ,2.133067,
92       ,-4615.190903,3939.272991,-8554.463894 ,2.628811   ,2.157799,
93       ,-4614.862769,3950.489571,-8565.352340 ,2.636296   ,2.171020,
94       ,-4614.751890,3959.589243,-8574.341133 ,2.642369   ,2.178709,
95       ,-4614.841964,3968.160206,-8583.002170 ,2.648088   ,2.183088,
96       ,-4615.047597,3974.967970,-8590.015567 ,2.652631   ,2.181998,
97       ,-4615.319545,3977.085485,-8592.405030 ,2.654044   ,2.170757,
98       ,-4615.462214,3971.225174,-8586.687388 ,2.650134   ,2.144140,
99       ,-4615.358753,3956.194480,-8571.553233 ,2.640103   ,2.100550,
100      ,-4615.095791,3934.397758,-8549.493549 ,2.625557   ,2.044493,
101      ,-4614.894415,3910.574320,-8525.468735 ,2.609659   ,1.984449,
102      ,-4614.886565,3888.804125,-8503.690689 ,2.595131   ,1.927831,
103      ,-4615.009974,3870.641583,-8485.651558 ,2.583011   ,1.877873,
104      ,-4615.144507,3855.671126,-8470.815633 ,2.573020   ,1.834641,
105      ,-4615.115229,3843.359475,-8458.474704 ,2.564804   ,1.797939,
106      ,-4614.882812,3835.179609,-8450.062420 ,2.559346   ,1.770754,
107      ,-4614.692450,3834.709408,-8449.401858 ,2.559032   ,1.759406,
108      ,-4614.833857,3844.372992,-8459.206849 ,2.565481   ,1.768071,
109      ,-4615.255609,3861.943316,-8477.198925 ,2.577206   ,1.792911,
110      ,-4615.499545,3881.649510,-8497.149054 ,2.590357   ,1.823826,
111      ,-4615.383202,3899.623551,-8515.006753 ,2.602351   ,1.853816,
112      ,-4615.216995,3916.210971,-8531.427965 ,2.613421   ,1.882985,
113      ,-4615.143789,3932.953951,-8548.097740 ,2.624594   ,1.913243,
114      ,-4615.089082,3950.523698,-8565.612780 ,2.636319   ,1.944986,
115      ,-4615.095049,3969.031456,-8584.126505 ,2.648670   ,1.977828,
116      ,-4615.222621,3987.643661,-8602.866282 ,2.661090   ,2.009867,
117      ,-4615.406888,4004.084711,-8619.491599 ,2.672062   ,2.036829,
118      ,-4615.632518,4015.282199,-8630.914717 ,2.679534   ,2.053423,
119      ,-4615.747853,4018.291226,-8634.039078 ,2.681542   ,2.054747,
120      ,-4615.568804,4012.470413,-8628.039217 ,2.677658   ,2.039880,
121      ,-4615.266436,4001.172484,-8616.438919 ,2.670118   ,2.014895,
122      ,-4615.011263,3989.799019,-8604.810282 ,2.662529   ,1.989293,
123      ,-4614.826871,3983.221042,-8598.047913 ,2.658139   ,1.971594,
124      ,-4614.635469,3985.114855,-8599.750324 ,2.659403   ,1.968053,
125      ,-4614.469664,3998.552269,-8613.021933 ,2.668370   ,1.983588,
126      ,-4614.744477,4024.562133,-8639.306610 ,2.685727   ,2.019866,
127      ,-4615.314212,4058.119459,-8673.433670 ,2.708121   ,2.068249,
128      ,-4615.518055,4090.439005,-8705.957060 ,2.729689   ,2.113616,
129      ,-4615.281229,4116.723194,-8732.004423 ,2.747229   ,2.147720,
130      ,-4615.062253,4137.844828,-8752.907081 ,2.761325   ,2.171862,
131      ,-4615.100757,4155.351238,-8770.451995 ,2.773007   ,2.188407,
132      ,-4615.205064,4168.357840,-8783.562904 ,2.781687   ,2.195707,
133      ,-4615.224111,4175.301009,-8790.525121 ,2.786320   ,2.191245,
134      ,-4615.215265,4175.895046,-8791.110311 ,2.786717   ,2.174821,
135      ,-4615.269898,4170.604945,-8785.874843 ,2.783186   ,2.147624,
136      ,-4615.214384,4159.855328,-8775.069712 ,2.776013   ,2.110745,
137      ,-4614.851622,4145.917817,-8760.769439 ,2.766712   ,2.068314,
138      ,-4614.398950,4134.710409,-8749.109360 ,2.759233   ,2.030589,
139      ,-4614.326578,4132.663940,-8746.990518 ,2.757867   ,2.008736,
140      ,-4614.636298,4141.239143,-8755.875440 ,2.763590   ,2.005391,
141      ,-4614.996394,4156.592938,-8771.589332 ,2.773836   ,2.014242,
142      ,-4615.283780,4173.537505,-8788.821285 ,2.785143   ,2.026838,
143      ,-4615.509418,4187.899246,-8803.408664 ,2.794728   ,2.036366,
144      ,-4615.586938,4197.088075,-8812.675014 ,2.800860   ,2.038512,
145      ,-4615.321849,4201.501721,-8816.823570 ,2.803805   ,2.033686,
146      ,-4614.791115,4206.422464,-8821.213579 ,2.807089   ,2.030240,
147      ,-4614.591794,4219.834010,-8834.425804 ,2.816039   ,2.041115,
148      ,-4615.133826,4244.564453,-8859.698279 ,2.832542   ,2.070759,
149      ,-4615.912332,4273.652990,-8889.565322 ,2.851954   ,2.107171,
150      ,-4616.214343,4296.487315,-8912.701657 ,2.867192   ,2.132330,
151      ,-4615.883423,4308.344436,-8924.227859 ,2.875105   ,2.137975,
152      ,-4615.376107,4312.988512,-8928.364619 ,2.878204   ,2.129835,
153      ,-4615.264505,4316.905255,-8932.169760 ,2.880818   ,2.118239,
154      ,-4615.522831,4322.121526,-8937.644357 ,2.884299   ,2.106247,
155      ,-4615.596491,4326.379868,-8941.976359 ,2.887140   ,2.089905,
156      ,-4615.657191,4328.354783,-8944.011974 ,2.888458   ,2.067651,
157      ,-4615.987018,4326.549140,-8942.536158 ,2.887253   ,2.038002,
158      ,-4616.008394,4317.633562,-8933.641957 ,2.881304   ,1.996022,
159      ,-4615.425728,4302.514560,-8917.940287 ,2.871214   ,1.943953,
160      ,-4614.583014,4290.107640,-8904.690654 ,2.862935   ,1.897206,
161      ,-4614.288924,4292.070551,-8906.359475 ,2.864245   ,1.875730,
162      ,-4614.839221,4312.460278,-8927.299499 ,2.877851   ,1.886666,
163      ,-4615.649946,4344.086900,-8959.736845 ,2.898957   ,1.918200,
164      ,-4616.151379,4375.482455,-8991.633834 ,2.919908   ,1.951520,
165      ,-4615.992329,4399.699381,-9015.691710 ,2.936069   ,1.974970,
166      ,-4615.520706,4418.475911,-9033.996617 ,2.948599   ,1.991273,
167      ,-4615.355342,4437.381724,-9052.737066 ,2.961216   ,2.009506,
168      ,-4615.320599,4458.841130,-9074.161729 ,2.975536   ,2.032849,
169      ,-4615.403844,4482.510660,-9097.914504 ,2.991332   ,2.060137,
170      ,-4615.701962,4506.206318,-9121.908279 ,3.007145   ,2.087295,
171      ,-4616.089103,4525.429715,-9141.518819 ,3.019973   ,2.106446,
172      ,-4616.391221,4534.919826,-9151.311047 ,3.026306   ,2.108728,
173      ,-4616.511793,4531.093035,-9147.604827 ,3.023752   ,2.088397,
174      ,-4616.345785,4513.786165,-9130.131949 ,3.012203   ,2.045564,
175      ,-4615.636260,4488.226134,-9103.862394 ,2.995146   ,1.988977,
176      ,-4614.603798,4467.196861,-9081.800659 ,2.981112   ,1.939648,
177      ,-4614.387657,4465.449589,-9079.837246 ,2.979946   ,1.922329,
178      ,-4614.817248,4487.331941,-9102.149189 ,2.994549   ,1.943628,
179      ,-4615.518342,4526.203429,-9141.721771 ,3.020489   ,1.992257,
180      ,-4616.316804,4569.905299,-9186.222103 ,3.049653   ,2.048121,
181      ,-4616.605036,4605.803184,-9222.408220 ,3.073609   ,2.089871,
182      ,-4616.466124,4627.720088,-9244.186212 ,3.088235   ,2.107256,
183      ,-4616.342338,4635.949450,-9252.291788 ,3.093727   ,2.100948,
184      ,-4616.292786,4632.439712,-9248.732498 ,3.091385   ,2.074334,
185      ,-4616.198789,4619.302068,-9235.500857 ,3.082617   ,2.031385,
186      ,-4615.946711,4600.108226,-9216.054938 ,3.069809   ,1.978763,
187      ,-4615.375655,4581.588208,-9196.963863 ,3.057450   ,1.928175,
188      ,-4614.755844,4574.409697,-9189.165542 ,3.052659   ,1.897655,
189      ,-4614.950836,4587.830182,-9202.781018 ,3.061615   ,1.902989,
